price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
26.91,Muthangi,1035.0,Under Construction,Unfurnished,2,2,1,East,2.0,"Pooja Room,Study Room",0-1,5.0,premium
99.15,Pragathi Nagar,1755.0,Under Construction,Unfurnished,3,3,1,East,4.0,Extra Room,0-1,5.0,low
45.0,Boduppal,1000.0,Ready To Move,Semi-Furnished,2,2,1,West,2.0,Pooja Room,5-7,5.0,premium
140.0,Saidabad,2237.1499999999996,Ready To Move,Unfurnished,3,3,1,North,2.0,Pooja Room,0-1,5.0,high
90.75,Kompally,1650.0,Under Construction,Unfurnished,3,3,2,East,3.0,"Pooja Room,Study Room",0-1,10.0,low
60.75,Gajularamaram,1350.0,Under Construction,Unfurnished,2,2,1,East,3.0,"Pooja Room,Study Room",0-1,5.0,low
38.5,Beeramguda,1100.0,Ready To Move,Unfurnished,3,3,3,East,8.0,"Pooja Room,Servant Room,Study Room,Extra Room",0-1,15.0,premium
40.5,Bacharam,1500.0,Under Construction,Unfurnished,3,2,1,North,3.0,Pooja Room,2-4,5.0,low
37.79,Bacharam,1400.0,Under Construction,Unfurnished,3,2,2,North East,3.0,Pooja Room,2-4,5.0,low
40.5,Bacharam,1500.0,Under Construction,Unfurnished,3,2,1,East,3.0,Pooja Room,2-4,5.0,low
33.73,Bacharam,1125.0,Under Construction,Unfurnished,2,2,2,North West,2.0,Pooja Room,0-1,5.0,premium
39.97,Rajendra Nagar,975.0,Ready To Move,Unfurnished,2,2,1,East,18.0,Study Room,0-1,5.0,premium
40.5,Bacharam,1500.0,Under Construction,Unfurnished,3,2,1,North East,3.0,Pooja Room,2-4,5.0,low
51.5,Bollaram,1120.0,Under Construction,Unfurnished,2,2,1,East,18.0,Pooja Room,2-4,5.0,premium
33.73,Pharma City,1125.0,Under Construction,Unfurnished,2,2,2,North East,1.0,Pooja Room,0-1,5.0,premium
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,1,North West,5.0,Pooja Room,2-4,5.0,low
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,2,North,4.0,Pooja Room,2-4,5.0,low
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,1,North,3.0,Pooja Room,2-4,5.0,low
70.0,Kollur,2237.1499999999996,Ready To Move,Semi-Furnished,3,3,1,East,1.0,Pooja Room,0-1,20.0,high
40.5,Bacharam,1500.0,Under Construction,Unfurnished,3,2,2,North East,3.0,Pooja Room,2-4,5.0,low
140.0,Kompally,2237.1499999999996,Under Construction,Unfurnished,3,3,2,North West,1.0,Pooja Room,0-1,1.0,high
34.48,Bacharam,1150.0,Under Construction,Unfurnished,2,2,2,North,2.0,Pooja Room,0-1,5.0,premium
52.9,Ameenpur,1150.0,Under Construction,Unfurnished,2,2,1,East,4.0,"Pooja Room,Extra Room",0-1,5.0,premium
33.73,Pharma City,1125.0,Under Construction,Unfurnished,2,2,2,East,3.0,Pooja Room,0-1,5.0,premium
39.9,Rajendra Nagar,950.0,Ready To Move,Unfurnished,2,2,1,East,5.0,Servant Room,0-1,5.0,premium
67.78,Chandanagar,1130.0,Ready To Move,Unfurnished,2,2,1,East,3.0,Extra Room,0-1,5.0,premium
46.22,Ecil,1075.0,Under Construction,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,5.0,premium
37.0,Bhongiri Warangal Highway,1000.0,Ready To Move,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,5.0,premium
140.0,Kondapur,2045.0,Under Construction,Unfurnished,3,3,3,East,18.0,Pooja Room,0-1,12.0,high
51.75,Ghatkesar,1150.0,Under Construction,Unfurnished,2,2,1,North East,5.0,Pooja Room,2-4,8.0,premium
67.0,Dundigal,1200.0,Ready To Move,Unfurnished,2,1,1,East,3.0,"Pooja Room,Study Room",2-4,5.0,premium
75.0,Gajularamaram,1520.0,Ready To Move,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,5.0,low
84.3,Kukatpally,1405.0,Ready To Move,Unfurnished,3,3,1,East,2.0,Pooja Room,0-1,15.0,low
140.0,Madhapur,2237.1499999999996,Under Construction,Semi-Furnished,4,4,3,East,5.0,Pooja Room,0-1,10.0,high
128.0,Sainikpuri,2045.0,Under Construction,Semi-Furnished,2,2,2,East,5.0,"Pooja Room,Study Room",0-1,5.0,high
85.6,Kondapur,1255.0,Under Construction,Unfurnished,2,2,1,West,1.0,Pooja Room,0-1,5.0,premium
140.0,Kompally,2237.1499999999996,Under Construction,Unfurnished,3,3,2,East,1.0,Pooja Room,0-1,20.0,high
49.0,Chandanagar,1070.0,Ready To Move,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,5.0,premium
113.99999999999999,Miyapur,1930.0,Under Construction,Unfurnished,3,3,1,North,2.0,"Pooja Room,Study Room",0-1,4.0,high
117.0,Bachupally,2237.1499999999996,Under Construction,Semi-Furnished,3,3,2,East,3.0,Pooja Room,0-1,15.0,high
